Name,Bat Speed,Swing Length,Time to Contact,Swing Acceleration
"Gordon, Nick",68.2,7.3,0.146,21.30013058
"Fry, David",70.5,7.8,0.151,21.30198173
"Dingler, Dillon",71.6,7.6,0.145,22.55011853
"Meadows, Parker",70.5,7.2,0.139,23.07714688
"Kessinger, Grae",69.4,7.1,0.140,22.67759363
"Merrifield, Whit",63.4,6.9,0.148,19.47447693
"Harris, Brett",70.3,7.2,0.140,22.94639843
"Maile, Luke",67.7,6.7,0.135,22.86856488
"McCoy, Mason",67.7,7.4,0.149,20.70532226
"Alvarez, Yordan",76.6,7.6,0.135,25.80954353
"Shewmake, Braden",69.6,7.1,0.139,22.80848856
"Ramírez, José",71.6,7.3,0.139,23.47683573
"Moncada, Yoán",70,7,0.136,23.401
"Valdez, Enmanuel",70.4,7.5,0.145,22.09125717
"Benintendi, Andrew",68,6.7,0.134,23.07168955
"Pagés, Pedro",72,6.9,0.131,25.11610435
"Bouchard, Sean",71.1,7.3,0.140,23.15009182
"Duran, Ezequiel",72.6,7.2,0.135,24.4724315
"Peralta, David",71.5,7.2,0.137,23.73646076
"Casas, Triston",74.6,7.7,0.141,24.16146738
"Solano, Donovan",67.1,7,0.142,21.50222376
"Pinto, René",74.6,7.5,0.137,24.80577317
"Stubbs, Garrett",66.6,7.1,0.145,20.88461561
"McCann, Kyle",73.6,7.8,0.145,23.21653497
"Carlson, Dylan",68.5,7.1,0.141,22.09322782
"Young, Jacob",68.2,6.9,0.138,22.53492075
"Johnson, Bryce",67.1,7.1,0.144,21.19937554
"Taylor, Chris",70.1,7.2,0.140,22.81602143
"Langford, Wyatt",74.5,7,0.128,26.50640821
"Naylor, Bo",70.6,7.4,0.143,22.51718308
"Guerrero Jr., Vladimir",75.9,7.7,0.138,25.01089329
"Frazier, Adam",66.5,6.9,0.141,21.4254808
"Florial, Estevan",73,7.1,0.133,25.0913338
"Stallings, Jacob",67.6,7.2,0.145,21.21764956
"Cabrera, Oswaldo",68.3,7,0.140,22.27818181
"Sheets, Gavin",72.7,7.6,0.143,23.24832167
"Gallo, Joey",72.4,7.3,0.137,24.0043886
"Castellanos, Nick",71.9,7.6,0.144,22.73948188
"Palacios, Joshua",72.6,7.4,0.139,23.81101443
"Henderson, Gunnar",76.3,7.2,0.129,27.0304301
"Williams, Luke",70.3,7.7,0.149,21.45637256
"Ramírez, Harold",71.7,7.3,0.139,23.54245927
"Barger, Addison",74.3,7.5,0.138,24.60666409
"Narváez, Omar",65.8,6.8,0.141,21.28527429
"Gray, Tristan",74.1,7.7,0.142,23.83867251
"Clement, Ernie",66.8,6.8,0.139,21.93715929
"Williams, Alika",69.6,7,0.137,23.13432411
"Ward, Taylor",69.8,7.1,0.139,22.93976017
"Mayo, Coby",74.1,7,0.129,26.22253976
"Mitchell, Garrett",75.7,7.4,0.133,25.88787577
"Wagaman, Eric",71.1,6.9,0.132,24.49212613
"Lee, Korey",71.4,7.2,0.138,23.6701115
"Tucker, Cole",65.6,6.8,0.141,21.15607718
"Varsho, Daulton",73.7,7.6,0.141,23.89228904
"Mendick, Danny",66.9,7,0.143,21.37423461
"Arozarena, Randy",72.7,7.4,0.139,23.87665469
"Suwinski, Jack",73.3,7.3,0.136,24.60489215
"Alvarez, Francisco",73.6,7.2,0.133,25.15124622
"García, Avisaíl",69,7,0.138,22.73717571
"Kreidler, Ryan",68.5,7.2,0.143,21.78637743
"Wallner, Matt",77.3,7.3,0.129,27.36355407
"Profar, Jurickson",71.7,7.3,0.139,23.54245927
"Horwitz, Spencer",69.5,7,0.137,23.06789393
"Walls, Taylor",67.3,7.2,0.146,21.0297451
"LeMahieu, DJ",67.3,7.1,0.144,21.32593869
"Andujar, Miguel",71.6,7.6,0.145,22.55011853
"Adrianza, Ehire",66.2,7.2,0.148,20.34791239
"Torrens, Luis",71.4,7.3,0.139,23.3458634
"Keith, Colt",71.3,6.7,0.128,25.36533682
"Marchán, Rafael",65.6,7.4,0.154,19.44071957
"Caballero, José",69.7,7,0.137,23.20084981
"Sanoja, Javier",67.8,7.2,0.145,21.3433835
"Adams, Jordyn",70.3,7.7,0.149,21.45637256
"De Los Santos, Luis",73.8,7.7,0.142,23.64603756
"Ohtani, Shohei",76.3,7.8,0.139,24.95116624
"Stewart, DJ",71.5,7.1,0.135,24.07077711
"Rogers, Jake",70.7,7.4,0.143,22.58101631
"Zavala, Seby",68.6,7.2,0.143,21.85003372
"Riley, Austin",75.2,7.5,0.136,25.20639829
"Romo, Drew",68.5,7.2,0.143,21.78637743
"Wells, Austin",72.5,7.4,0.139,23.74546453
"Ibáñez, Andy",70.1,7.3,0.142,22.50347319
"Vogelbach, Daniel",72.5,7.6,0.143,23.12058388
"Bae, Ji Hwan",69.1,6.8,0.134,23.47380857
"Hicks, Aaron",68.1,7.4,0.148,20.95071653
